Tweet,Sentiment
 1 another r40 accident claims six lives,Negative
 1 another r40 accident claims six lives,Neutral
thelma houston  dont leave me this way,Negative
ahh its in 720p now it was 360p when i downloaded ,Neutral
lucky you what day is it victoria,Positive
russian pm medvedev says western sanctions are testing countrys strength moscow reuters  russias strengt,Neutral
  ideal guy ni jane family oriented sweet protective may sense of humor thoughtful maalaga c wawa yan st,Neutral
neymar jrs eyes official  youtube,Neutral
  tendulkar explains why it was important to get kallis out before he observed the grass on the pitch httpt,Neutral
  tendulkar explains why it was important to get kallis out before he observed the grass on the pitch httpt,Neutral
times of crisis companies merge and consolidate nations split up,Neutral
what the hell  worst designed garment of clothing in the history of the human race ,Neutral
them fire too but subway go cray,Neutral
but when cited incorrectly its the same old bovine byproduct,Neutral
a big age difference but you see beauty runs in the family,Positive
oshey analyst  that synagogue building collapse looks exactly like a perfect controlled demolition ,Negative
really want to get everything back on the right track by the time i graduate thats probably my goal for 2015,Neutral
 limmy do you dare to believe that we could run this small country of ours amp care for its people more than westminster can,Neutral
michael clifford from  i know you get this alot but can you be my 24 i love u guys  5 seconds of summer  x965,Positive
android one smartphones to be priced at around rs 6 399 in india google mulls expans,Neutral
 link removed,Neutral
 youre a princess and you deserve to be treated like one,Positive
scottish referendum what is the united kingdom,Neutral
scottish referendum what is the united kingdom,Neutral
 done class,Neutral
07m at 97km 179km ene from kistufell 64850n 16866w,Neutral
07m at 97km 179km ene from kistufell 64850n 16866w,Neutral
the winner of our  satchel is  congratulations please dm name amp address thanks for taking part,Positive
ok sure lol,Positive
ok sure lol,Negative
  big news you can download  today here  ,Neutral
plz visit our store for fabulous wedding gifts,Neutral
plz visit our store for fabulous wedding gifts,Neutral
dont see bigticket move by infosys for a year centrum in an interview to cnbctv18 ravi menon it analy,Neutral
dont see bigticket move by infosys for a year centrum in an interview to cnbctv18 ravi menon it analy,Neutral
still cant believe i got to meet and hang out with you safe travel home tomorrow,Neutral
my top 2 biggest fears in 1 day what a time to be alive,Neutral
i lve you 2lol,Neutral
i lve you 2lol,Positive
those movies are great,Positive
those movies are great,Positive
mohammed nod for atlantic resort dubai waterfront zaabeel one,Neutral
i love you do you love me,Neutral
rockin my mums 30 yearold jeans lol they fit    jose2352,Positive
watching tv n chipped a toothwheres  when u need a good dentist,Negative
one person followed me and 2 people unfollowed me in the last day thank you  app,Neutral
is our resident decompiler,Neutral
 this shit crack me up nigga high af,Negative
 this shit crack me up nigga high af,Negative
 hi there amp welcome to   the  facebook page is probably the one to follow here it is,Neutral
im first hehe,Positive
yesorno need holiday ,Neutral
title fly me to the moon artistfrank sinatra,Neutral
title fly me to the moon artistfrank sinatra,Neutral
 140915 nichkhun mirage event 1,Neutral
if you keep it real with me ill keep it real with you,Neutral
if you keep it real with me ill keep it real with you,Neutral
 if only we could lay our weary heads on certain shoulders ,Positive
 eraserhead 1977 director of photography herbert cardwell and frederick elmes  director david lynch ,Neutral
 eraserhead 1977 director of photography herbert cardwell and frederick elmes  director david lynch ,Neutral
its a blueprint from the preparation phase amp flowers as a postconference trace,Neutral
its a blueprint from the preparation phase amp flowers as a postconference trace,Neutral
im voting nooooooo,Negative
im voting nooooooo,Negative
4 people followed me and 3 people unfollowed me  automatically checked by,Neutral
pordalab     tweet retweet qoute ,Positive
12 between 2008 amp 2014 trips using payasyougo oyster cards rose in price by 61 for bus journeys amp 47 for the underground,Neutral
first android one smartphones launch,Positive
goodnight danky ,Positive
word,Neutral
word,Neutral
 meet  and hear him talk about managing api resources and their relationships   ,Neutral
  good  info 5 best   tools    ,Neutral
what ,Neutral
 power continues to shake b and c centres,Negative
good morning  join  amp  for  for the news and weather where you live watch online,Neutral
and thats a wrap congratulations nathan and stephy     ,Positive
oh no,Negative
allison young i met scorch ,Positive
allison young i met scorch ,Neutral
dropped his show to yell at a fan for not standing during his show that fan was in a wheelchair ugh,Negative
dropped his show to yell at a fan for not standing during his show that fan was in a wheelchair ugh,Negative
  please follow her  shes your biggest fan do it for her please  ,Neutral
one person unfollowed me  automatically checked by,Neutral
one person unfollowed me  automatically checked by,Neutral
nuevo en  dirty work link,Neutral
 incoming freshman be like,Neutral
 incoming freshman be like,Neutral
it is an unexpected surprise yesterday sad story but shes ok ,Neutral
theresa may steve mcguirk amp ali parsa 3 people whove shaped public service,Neutral
how can guys do double anal like youre literally getting your dick rubbed by another dick no thanks bud,Negative
r_2_be a prayer,Neutral
reekado banks which banks do u use   ,Neutral
reekado banks which banks do u use   ,Neutral
back to my busy life tomorrow im grateful though work work work thats all ,Positive
back to my busy life tomorrow im grateful though work work work thats all ,Positive
goodnight saw the most amazing sunset over the mountains at joshua tree  see more,Neutral
 for those of u prayin d troops fail so u can insult gej as usual wat u dont know is dat u willmay be exterminated by boko,Negative
 for those of u prayin d troops fail so u can insult gej as usual wat u dont know is dat u willmay be exterminated by boko,Negative
  head of uk audiences network coordinator amp content editor uk auds coordinator ops coordinator,Neutral
the profit goldeneye forex indicator with numerous built in algorithms voice alerts and very accurate entries,Neutral
 lol gd going down while dara with her biiiggg mic is going up   dapak  i c u dara  ,Neutral
 there is my gift for guys,Positive
hatsoff 4 all the magicians who build our world,Neutral
hatsoff 4 all the magicians who build our world,Neutral
skin shocks used at mass school draw fda look canton mass ap  some cut themselves others slam the,Negative
 nas is just ,Neutral
   luke hemmings from 5sos just use your superpower to make me and my fwed  smile ilysm  260,Positive
holay shitballs its monday and its beautiful  feeling happy,Positive
    silver buddha by larisjewelrydesigns  via   ,Neutral
gazegill rare breed 100 grass fed steak selection hamper  via,Neutral
this is old english  you might hear this language in bbcs merlin or lotr since tolkien is an expert in it,Neutral
 130915   at yvricn airport 14 credit strawberrybaby1106,Neutral
 130915   at yvricn airport 14 credit strawberrybaby1106,Neutral
 so when does everything start to go my way,Negative
gotcha,Neutral
jk biatch i got cought up eating ,Negative
i thought this was a photoshop but its the weirdest ship ive ever seen,Neutral
ignore this coon,Neutral
costa is off to a flyer but liverpool and man city stars are still good bets for top scorer ,Neutral
its a beautiful thing  the boi  got some loyal fans yall sheeeshh,Positive
runnin runnin runnin run,Neutral
why bebi,Neutral
why bebi,Neutral
 rio ferdinand on moyes unintentionally he created a negative vibehed slowly lost us i didnt enjoy playing under ,Negative
another hour its september 15 2014 at 0602pmfxxcvj,Neutral
civil war officers heroism earns medal of honor,Positive
 zarkandar skips ces date zarkandar a leading contender for next months betfred cesarewitch will bypass the newm htt,Neutral
im sure ill be here to go see that with d i hopeeee,Positive
  your concert is like a full on workout but its a fun workout,Positive
ugly bitches that think they are bad crack me up,Negative
   no that shit will kill you,Negative
   no that shit will kill you,Neutral
 if your belief system is not founded in an objective reality you should not be making decisions that affect other people,Negative
sext you try not to be trying to be with them all your time,Negative
 we need to apply nicky hagers framework when we analyse the govt response tomorrow,Neutral
good mate cheers  lapping up the sun walking on the beaches looking at the peaches howaya,Positive
the ghost stories told at the gather are all centering in my memory haunting me as the hair on my back rise,Neutral
 miley cyrus is an outfit repeater,Neutral
i heard you like dolls may i present the island of dolls,Neutral
bunch of,Positive
 my main focus is to get my shit together,Neutral
 my main focus is to get my shit together,Negative
one person followed me in the last day thanks to  app,Positive
 were looking for volunteers to help at the  pls  amp get in touch if you can help ,Neutral
what are you reading lucian,Neutral
what are you reading lucian,Neutral
agh just 1 mark more and i couldve gotten a distinction dx,Positive
sometimes we dont realize how blessed we are to have our mothers in our lives,Neutral
love cjr,Neutral
my top 3  artists interpol 49 regina spektor 34 amp julian casablancasthe voidz 34,Neutral
ive just entered a competition on julies notebook to win lilys kitchen dog food from,Neutral
new watch bickley somers break down cards win,Neutral
 egypts most prominent activist released on bail egypts most prominent activis  ,Positive
once,Neutral
 sep 15 1973  musician singer musical director victor jara killed after torture by pinochets forces following coup in c,Negative
 sep 15 1973  musician singer musical director victor jara killed after torture by pinochets forces following coup in c,Negative
and so we know and rely on the love god has for us god is love whoever lives in love lives in god and god in,Neutral
 air france pilots begin strike,Neutral
plastic pollution choking australian waters study  link,Neutral
missing my family,Negative
missing my family,Negative
  good times,Neutral
reply to    wowowowi want to joind p ,Neutral
reply to    wowowowi want to joind p ,Positive
 brown panther jockey  after  win see gallery,Neutral
 brown panther jockey  after  win see gallery,Neutral
blue black is just ugh ,Positive
dick cheney should be in jail read the full transcript here,Neutral
love raised by wolves edge at his best,Positive
  we believe eu founds will help to mold polish economy,Positive
  we believe eu founds will help to mold polish economy,Neutral
only 36 percent of p26trillion budget to be debated on davao rep ungab explains why,Neutral
  never been able to do a yoyo or hula hoop,Neutral
nah fuck u,Negative
dont quote me without saying anything my gosh,Negative
 thank you for mentioning me have an awesome day ,Positive
 chief keef changing his life,Neutral
 chief keef changing his life,Neutral
 the first 1000  part 1 lessons learned on the path to building an authors following   ,Neutral
 if youre ashamed to stand by your colours you better seek for another flag mohktar dahari,Negative
  wanna find out when you can get hold of  where you are check this out ,Neutral
1 user i follow does not follow me back on twitter find out who does not follow you back,Neutral
ib admit card 2014  ib security assistant hall ticket 2014 admit cards for saexe examination oct 12 2014,Neutral
diff work place  new people getting to know themgosh i hate change,Negative
india to grow at 5 6 in fy15 rate cuts likely in q1 2015 ficci,Neutral
 honey for the eyes virile moment         ,Positive
if you were keen on footy show tickets,Neutral
if you were keen on footy show tickets,Neutral
jonathan reaffirms credible elections in 2015  pm news nigeria,Neutral
new zealand dismisses snowdens claim it planned mass domestic spying wellington reuters  new zealand was ,Neutral
 we are on our way to meet the cast of  stay tuned for live updates and exclusive pictures,Neutral
uhp bright and early where ai at because gills about to get this work in,Positive
one person followed me  automatically checked by,Neutral
ashya proton beam sessions begin brain tumour patient ashya king is undergoing his first proton beam treatmen,Neutral
bang on   if kolkata restaurant denied suzette jordan entry for being the park street rape survivor it should lose its license,Negative
thorn_alan  absolute perfectionism involves infinite recursion to release your game youll need to stop somewhere,Neutral
take a short nap,Neutral
take a short nap,Neutral
lmao  i almost followed this girl till i saw sm4lyf somewhere in the bio ,Negative
 i hate derrick so i have signed off of  its all about  now,Negative
ok next week ,Neutral
i found simple pump in the tribez amp castlez for ,Neutral
best discussion i have seen thus far on  between zainab badawi and  on,Positive
 i have decided to run for parliament cos i am determined no private health doctor will ever hand you a bill like this ,Negative
 i have decided to run for parliament cos i am determined no private health doctor will ever hand you a bill like this ,Neutral
 if bae doesnt stalk your tweets then bae is not bae,Negative
heartbreak saging heartbreak girl 5 seconds of summer,Negative
hilarious love the math about impact factor,Positive
school is gonna suck today,Negative
yesterday is but todays memory and tomorrow is todays dream,Neutral
i cant accept to always be disrispected i believe i can change what i cant accept,Neutral
no i am  xx,Positive
omg you make my smile so bright i love you can tour follow me plz x11,Positive
at least i wont get that song out of my head,Positive
sore,Negative
it was a tough battle but the win is mine,Positive
i have literally been in the worst form ever lately i hate this,Negative
i have literally been in the worst form ever lately i hate this,Negative
feels good to workout at this time,Positive
  i dont think i can hes always gone so now im all alone,Negative
media monkeys diary page 3 scottish independence  and where is wales,Neutral
ive collected 37 261 gold coins,Neutral
 youtube users in india can now download and watch videos offline,Neutral
 great atmosphere in trinity today for freshers week were in front square with  petition ,Positive
 great atmosphere in trinity today for freshers week were in front square with  petition ,Positive
pubstomping  via,Neutral
done thanks,Positive
 red sail by caras ionut,Neutral
thanks noona  nice to meet you,Positive
baekhyun  140915 incheon airport arrival from bangkok credit,Neutral
amp thanks,Neutral
too shy to talk about stis and contraception get savvy during sexual health week  1521 september 2014,Neutral
3d printing with wood filament on robo 3d printer  looks smells amp feels like wood  youtube ,Neutral
well thats just sad ,Negative
 but i wanna be a banana ,Negative
ive collected 70 gold coins,Neutral
napping for just 6 minutes can help improve your memory,Neutral
 getting ready for church ,Neutral
we hope you all had a nice weekend and are ready for a new week with loads of great opportunities  we thought,Positive
1five 2zouis 3torn 4all 54 65sos 7no,Neutral
1five 2zouis 3torn 4all 54 65sos 7no,Neutral
 gotta love   this  is an amazing interpretation of classic porsche style,Neutral
 allkpop nichkhun reveals he hasnt been able to see tiffany much because theyre both busy  http,Negative
 lol you gotta be kidding me  ,Neutral
 lol you gotta be kidding me  ,Neutral
cheers justin just dont mention the iso this once cleaned up really well my favourite shot of the morning is,Neutral
cbb treasury bills oversubscribed by 209,Neutral
what room,Negative
we havent had rain in agesssssss,Negative
one person followed me  automatically checked by,Neutral
best ufo sightings april 2014 new ufos file roswell ufos documentary hd best ufo sightings april 2014  new u,Neutral
news bulgaria janjuly current account posts 13pcgdp surplus,Neutral
news bulgaria janjuly current account posts 13pcgdp surplus,Neutral
my brother got mad cause ithought kevingates was young buck hell they sound alike the fk,Negative
you want to concentrate on the good news today rather than foc more for taurus,Neutral
ingat kayo well miss you ,Negative
thank you brittany,Positive
its twitter everybody gone have their own opinions about things that are posted,Neutral
its twitter everybody gone have their own opinions about things that are posted,Neutral
 what happened to your arm bby,Negative
constable was more than a reactionary fuddyduddy  via,Neutral
i got the worst headache rn ,Negative
the colombian womens cycling team stylewatch what exactly was on the mood board here sports luxe the cro,Neutral
i just received a reward popular island,Neutral
life  sometimes you really are too good to me,Positive
nab alert nab alert what is the meaning of this ,Neutral
ghosts was lucky  via,Positive
pick my new car up wednesday d,Positive
i posted a new photo to facebook,Neutral
hartleys second law never sleep with anyone crazier than yourself,Neutral
pass the sick bag not the pop corn us verdict on dwps privatised sick note service  via,Negative
i kennot betullah,Neutral
wealthy affiliate university review  crucial information helpful tips and reviews play a strategic role,Neutral
you know when school year ends and you think you will stop crushing on that person during summer but you see them again and nothing changed,Neutral
   nice legs thanks i grew them myself,Neutral
welcome to gist me blog trending moviesin city a dame to kill ,Neutral
taking a shower and going back to sleep,Neutral
session one was calling out for a  versestill a monster of a tune tho,Neutral
the only thing good about school is the weekends,Negative
a guy like anelka will score 10 goals against a indian defense,Neutral
a guy like anelka will score 10 goals against a indian defense,Neutral
for you pa we love you happy birthday,Positive
revs,Neutral
revs,Neutral
wtf since when do you pay for a company uniform its not your own casual clothes its a company uniform,Negative
  supplier wedges flatshoes jakarta mulai 50rb 236e6065 instagram rumahwedges,Neutral
get it out now,Neutral
  chairman peter swann if this is a blip prove it full statement here,Negative
 someone gave me a hedgehog hat for max at my meet n greet aw look  i want one ,Positive
today is supposed to be your 60th birthday pa,Negative
its freezing wtf,Negative
travel smile do you think he has got a chance ,Neutral
ok i dont want to wake up,Negative
link of the day most popular link among people i follow is  by,Positive
hows wallaces fitness after game,Neutral
slingtv review convenient tv placeshifting with an underwhelming new interface for the,Neutral
slingtv review convenient tv placeshifting with an underwhelming new interface for the,Neutral
 boa in nagoya zipfmlachic century session d,Positive
new job posted labor amp delivery nurse  ld rn american mobile healthcare require a labor amp ,Neutral
 at the age of 41 goalkeeper rogerio ceni scored his 120th goal for são paulo last night,Positive
never cry for someone who hurts you just smile and say thanks for giving me a chance to find someone better than you,Neutral
never cry for someone who hurts you just smile and say thanks for giving me a chance to find someone better than you,Neutral
 video team usa wins gold hits the shmoney dance on the podium,Positive
   jane   awww ang cute janes true friends,Positive
the us department of state warns us citizens of the risks of travel to eritrea  diretube,Negative
 i was never going to join manchester united  muller,Neutral
larsfälten hold business accountable for their ecological and social impact calculate the true costs,Neutral
larsfälten hold business accountable for their ecological and social impact calculate the true costs,Neutral
colloidal silver salve  amazing silver balm w essential oils,Neutral
follow back b2uty ,Neutral
 full of sith episode lxxxii holly frey in theres always room for greedo join tha mike pilot  ,Neutral
euro zone trade surplus rises in july on growing exports brussels  the euro zones trade surplus rose yearo,Neutral
euro zone trade surplus rises in july on growing exports brussels  the euro zones trade surplus rose yearo,Positive
 spirit lead me where my trust is without boarders let me walk upon the waters wherever you would call me,Positive
first time watching motd this season and im just now realising how shit newcastle are,Negative
 we can help you learn more about available mental health services in the community,Neutral
wake iup to shirtlessni all pictures with his sunglasses and ches t  hair,Positive
you are eager to handle a tricky situation by quickly swinging more for pisces,Neutral
good morning monday i hate you so much,Negative
this is so sweet ,Positive
this is so sweet ,Positive
  must win over patients and staff to achieve a paperless future conference hears,Neutral
git windowshopping homeliness in cooperation with ecolo starry heaven coupon codes kudbfrgjl,Neutral
i even sent her a dont let them get to you tweet,Neutral
 social imbalance is increasing results of first euwide social justice report   jn http,Negative
time to flee dinas again permanently moving into house in cardiff today,Positive
 what a show   more like best fest great to be with so many great people   ,Positive
guilds ghi,Neutral
didnt put gel in my hair didnt have time to ,Negative
preserving australias rock art  a national policy,Neutral
im sick yet again ,Negative
sounds yummy sweet on you day is on 27 sept 123    deatils,Positive
 owned have students own their own work more movitated brings empowerment tangible outcomes this brings pride,Positive
there is no way any one any player in this case can man mark alexis sanchez,Positive
 absolutely cannot wait for you guys to hear steal my girl on 29th september,Positive
 absolutely cannot wait for you guys to hear steal my girl on 29th september,Positive
unprecedented boost in number of new schools,Neutral
 give julquen a chance  give julquen a chance  give julquen a chance  give julquen a chance ,Neutral
 give julquen a chance  give julquen a chance  give julquen a chance  give julquen a chance ,Neutral
i had a good bonofree run,Positive
the honor of talking to me through social networking is more than enough payment,Positive
the honor of talking to me through social networking is more than enough payment,Positive
 a bullshitters guide to freshers week,Negative
open day session  thu 18th sept,Neutral
anchorage alaska anchorage_cccs on twitter ,Neutral
anchorage alaska anchorage_cccs on twitter ,Neutral
yeah man  seriously u should come no contests amp no bangkok trips to look fwd to,Neutral
dower  50 seconds,Neutral
 gracias a tod esta victoria es vuestra thanks to all this victory is yours,Positive
contributed tweets for  are delivered by,Neutral
proud to be part of the team that launched  in india,Positive
grep me no patterns and ill tell you no lines,Neutral
one person followed me and 2 people unfollowed me in the last day thank you  app,Neutral
to  thanx for following me ya tha best ,Positive
my wedding prep pictures,Neutral
