,Tweet,Sentiment
162,če vežemo njihove plače na minimalca bodo že sami spokali ,Neutral
164,zimske gume ključne za štiripogonska vozila  via,Neutral
165,ne ne sem samo razmišljal da bi posneli en vohunski film v katerem bi zemljariča lahko igrala judy dench pa me zanima razlika,Neutral
166,bo vsaj twitter zjutraj bolj poln prijaznih novic ,Neutral
167,namen nagrade za umetniške dosežke jožetu možini je izrazito političen ne umetniški,Negative
168,anonimnost z imenom in priimkom do zdaj nisem dvomila v prisotnost vsaj koščka razuma v tvojem možganu priznam,Neutral
169,začenja se shod soočenja spremljamo ga v živo,Neutral
170, slovenija se bo udeležila izbora za pesem evrovizije 2014 na danskem ,Positive
175,recimo da proporcionalnost ni ravno beseda s katero bi opisal svojo glavoampak glavo ane,Neutral
176,too much najvišja ponudba 127 tisoč najnižja 55 tisoč plafon v razpisu 155 tisoč ne jamrat o aneksih čanje,Neutral
177,vsaka korupcija se ustavi takoj ko so finance javne ,Negative
178,  srbska vlada je pred leti želela zapreti arhive udbe do l2074 šele ko se je zganila evropska komisija s,Neutral
179,  srbska vlada je pred leti želela zapreti arhive udbe do l2074 šele ko se je zganila evropska komisija s,Neutral
180, slovenija mora na evrovizijo načrtno poslat navečji pofl in potem stvar oglaševat kot nekaj gnilega je v deželi danski ,Negative
181, slovenija mora na evrovizijo načrtno poslat navečji pofl in potem stvar oglaševat kot nekaj gnilega je v deželi danski ,Neutral
182, roman leljak rtv slovenija me je gnusno izkoristila vsako mojo nebulozo so objavili brez komentarja,Negative
183,minister jakič v turčiji kupil zasebno lovsko letalo falcon zmrzuje ta pa ima roštilj na riti je komentiral  424181591888633856 184  kje to jaz sem pozvonila in teti rekla naj me spusti ven ker sem samo šla do zaprtih vrat in nazaj pa je rekla naj plačam 424181699334123520 185   posodobljeno pri dejanu kalohu politikissi hišna preiskava zaradi afere fišergatereportersi  via 424181751410589696 186 nsa vsak dan zbere 200 milijonov sms sporočil 95 jih je od bivše 424181807853346816 187 nsa vsak dan zbere 200 milijonov sms sporočil 95 jih je od bivše 424181807853346816 188   znp protestira proti pretirani uporabi represivnih sredstev zoper novinarje  424181922215235584 189 code 144 message no status found with that id 424181992939585536 190    kje to jaz sem pozvonila in teti rekla naj me spusti ven ker sem samo šla do zaprtih vrat in nazaj pa je  424182039437664256 191    kje to jaz sem pozvonila in teti rekla naj me spusti ven ker sem samo šla do zaprtih vrat in nazaj pa je  424182039437664256 192 code 144 message no status found with that id 424182188155088896 193   slovenija se bo udeležila izbora za pesem evrovizije 2014 na danskem   424183099052658689 194   v okviru dne varne rabe interneta 2014 pripravljamo dogodek za učitelje in strokovne delavce  424183151699587072 195 tudi mi glasujemo za goran dragić   424183380356247552 196 tudi mi glasujemo za goran dragić   424183380356247552 197 uradno odločitev o slovenski udeležbi na evroviziji eurovision song contest je padla  424183750855909376 198 uradno odločitev o slovenski udeležbi na evroviziji eurovision song contest je padla  424183750855909376 199  poguglaj me in boš imel mojih slik kolikor hočeš če jo pogrešaš v profilki sem edina s takim imenom 424184130797309953 200 code 179 message sorry you are not authorized to see this status 424184471987159040 201     predvsem niso novinarji svetovalci v poslanskih skupina ali pa bili sodelavci nekdanjega ministra 424184647958790144 202  jah tudi s papirja je treba prepisat ne ampak domnevam da tudi za traskribiranje obstaja aplikacija  424185026469969920 203  jah tudi s papirja je treba prepisat ne ampak domnevam da tudi za traskribiranje obstaja aplikacija  424185026469969920 204   iva to je okvirna ocena našega terenskega novinarja  424185280245940224 205 po pomanjkanju akcijskega temnega piva v leclercu vidim da tudi vam ni lahkos 424185608698081280 206 po pomanjkanju akcijskega temnega piva v leclercu vidim da tudi vam ni lahkos 424185608698081280 207  je a ne  kje pa ste zdej partibrejkerji 424185716747550720 208 code 144 message no status found with that id 424186037665931264 209    najbolj prodajan model bmw v sloveniji v letu 2013  424186394320183297 210 code 63 message user has been suspended 424186997247582208 211 code 63 message user has been suspended 424186997247582208 212 volk z wall streeta je edini film po dolgem času ki bi ga šel gledat h kinematografom zato ker mi ne bilo škoda 6e zaradi 3 ur filma 424187549817769985 213 code 63 message user has been suspended 424187693916889090 214  delo v delusliši se hudo 424188037375873024 215 code 63 message user has been suspended 424188466273210368 216 si biznis plus varnostni sistem bih  pregovorna pripravljenost na nepripravljenost  424189036669206528 217 code 144 message no status found with that id 424189279703932928 218  se dogaja se že kakšen teden dni vmes je bil telefon nekajkrat na off 424189831002877952 219 code 144 message no status found with that id 424190020618960896 220 code 144 message no status found with that id 424190020618960896 221 code 144 message no status found with that id 424190163158589440 222 code 144 message no status found with that id 424190365835337728 223  zakon je itak v ustavni presoji 424190628181053440 224 code 144 message no status found with that id 424191023020261376 225 code 144 message no status found with that id 424191230827044864 226 code 144 message no status found with that id 424191300439531520 227 code 63 message user has been suspended 424191472217620480 228 ameriški veleposlanik mussolini je slovencem razložil da smo med osamosvojitveno vojno premalo trpeli in smo zato takšni kot smo 424192203809112066 229 če je kdo na trzinski obvoznici videl bedaka v črnem bmwju z odprtim pokrovom za točenje goriva to sem bil jst sue me  424192403889987584 230 code 144 message no status found with that id 424193001322061824 231 umrl je dušan drofenik nekdanji šef banke celje  424193627540049920 232  xperia z1 bila do sedaj ampak to prihaja v prihodnje  424193680509911042 233 code 144 message no status found with that id 424193720758464512 234 code 144 message no status found with that id 424193720758464512 235 code 144 message no status found with that id 424194155300925440 236 danajski zagovorniki osamosvojitve  424194620356968448 237 aki bo v današnji oddaji dobra ura od 1645 dalje na tvs 1 govoril o risankah vabljeni  424194791061340160 238 code 144 message no status found with that id 424195303961792512 239 kar čutimo da moramo narediti je sigurno prav in zato to moramo narediti če ne se vse bolj in bolj  424195507263930368 240 code 144 message no status found with that id 424196037658439681 241   danajski zagovorniki osamosvojitve  424196387157585920 242   a ni ljubko je pa res da sem zdajle tisto zadevo uredila na eupravi kar je zelo kul 424196657660841984 243 na celjskem sodišču je bilo divje pornorežiser je nokavtiral pravnika  424197094300061696 244 na celjskem sodišču je bilo divje pornorežiser je nokavtiral pravnika  424197094300061696 245   v nagovoru dekana  ob svečani podelitvi diplom tudi o krizi slovenske nenormalnosti http 424197208846901248 246 umrl je dušan drofenik   424198247649796096 247 umrl je dušan drofenik   424198247649796096 248 1  nikakor vsaj z moje strani je bilo mišljeno da bi boljše uvrstitve vsaj deloma upravičile ta strošek,Neutral
184,a super da gremo na evrovizijo se bo ljudstvo spet mal zamotlo,Neutral
185,koliko prej lahko uredim podaljšanje registracije avtomobila hvala,Neutral
186,koliko prej lahko uredim podaljšanje registracije avtomobila hvala,Neutral
187,kako naj zaupam eni spletni strani ki zgolj nekam v globoko v tekst splošnih pogojev skrije ime osebe s katero sklepam pogodbo,Neutral
188,za vse ki ste kupili nextgen konzoloprihaja tetris,Negative
189,no tam je meja med novinarstvom propagando in prjem milo rečeno mal zabrisana,Neutral
190,in da enkrat pohvalim posto  usluzbenka novinka je rekla da naj ne placujem s kartico provizija naj prinesem denar drugic,Neutral
192,pujsi psi konji in krave na zatožni klopi,Neutral
193, posodobljeno pri dejanu kalohu politikissi hišna preiskava zaradi afere fišergatereportersi  via,Positive
194,eni povijajo eni povijamo,Neutral
195,pinelina dnevna soba bo v ponedeljek 10 marca gostila thalio zedek več o izjemni glasbenici na,Positive
199,na shodu zažgali kopirane bankovce za 500 evrov ki predstavljajo korupcijo,Positive
201,odhod v solzah  trg osvobodilne fronte,Negative
202,loreal zanika da svoje laboratorije za izdelovanje krem imenuje krematoriji,Neutral
203,hm hecno šele zdaj vidim da je v naslovu pod kontakt mogoče je prevelik font d,Neutral
204,hm hecno šele zdaj vidim da je v naslovu pod kontakt mogoče je prevelik font d,Neutral
205,js sm čist preveč iskren skor sm sicer simpatični prodajalki reku da ji je prejšnja barva las bolj pasala,Neutral
208, pospravljamo podstrešje leto bedakov in konjev  reportersi  via,Neutral
212,kupnina bo šla za filanje proračunske luknje bomo kvečjemu malce manj revni,Positive
213,tvoj odgovor potrjuje mojo zlo slutnjo vsi ki ste okoli  ste takoo zeloo naduti da je to že noro,Negative
214,tvoj odgovor potrjuje mojo zlo slutnjo vsi ki ste okoli  ste takoo zeloo naduti da je to že noro,Positive
217,vsi na ulice ulice so naše,Neutral
218, vsi na ulice ulice so naše,Neutral
219, francozi izenačujejo ddv na spletne medije zdaj 20 s tistim na tiskane 2 1 edino pametno,Negative
220, francozi izenačujejo ddv na spletne medije zdaj 20 s tistim na tiskane 2 1 edino pametno,Negative
225,shameless s04e01 ,Neutral
227,no morva pa upoštevat na zaprtje slovenske in rumeni pasovi so huda pizdarija,Neutral
228,zmeraj smo veseli zadovoljnih obrazov,Negative
229,inspiracija dneva interluebke garderoba s40,Negative
230,samo se en korak te loci do tvitanja uslikovljenih citatov pazi se,Negative
231, danska bo zaprla veleposlaništvo v sloveniji,Negative
232, fišer pravi da so stvari v fišergatu polresnice ali izmišljene  zakaj potem preiskava pri ,Neutral
233,jebeš tetris jaz čakam na minesweeper d,Neutral
234,a je spraševal če imaš rada horror filme ,Negative
235,its deejaytime and we like itnocoj v živo v klubu top six  se vidimo in slišimo ,Neutral
237,davčna se je usedla na račun janković pa se še ne preda in pravi ,Positive
245,gospodarstvo  rusi namesto slovenca postavili svojega človeka  siol uprava je odstopila zaradi različnih st,Negative
246,gospodarstvo  rusi namesto slovenca postavili svojega človeka  siol uprava je odstopila zaradi različnih st,Negative
247,oku oku ki je bil pred upokojitvijo pripadnik specialne enote ki je varovala predsednika janeza drnovška  ,Negative
248,pozdravljeni kdarkoli bom le utegnil vas bom v kar se da redni temi obveščal o dnevnih vplivih planetov po,Neutral
250,slovenija zamuja z načrtom za jamstva za mlade bruselj ga pričakuje zelo kmalu,Neutral
251,poznaš notateme app zdaj testiram pa dobro dela,Neutral
252,poznaš notateme app zdaj testiram pa dobro dela,Negative
253, slovenija zamuja z načrtom za jamstva za mlade bruselj ga pričakuje zelo kmalu,Positive
254, slovenija zamuja z načrtom za jamstva za mlade bruselj ga pričakuje zelo kmalu,Neutral
255,bravo,Positive
256, taka kriza je da še za sneg nimamo je pač dež cenejši via,Positive
257,še 6 mesecev do poletjathe time is right 4 recreation nad funzačetek jutri 14hciljšmarna gora pridruži se nama,Negative
258,v čitalnici se bojo dedki skregal za par revij in časopisov žnica,Neutral
260,no pol pa pač čimprej d,Neutral
261,eh so se same zacele motiti  ne uporablam telefona ce vozim sm mal prej pizdil cez to ,Positive
262, loreal zanika da svoje laboratorije za izdelovanje krem imenuje krematoriji,Neutral
263,priporoceno nosijo tudi ob sobotah ti kaj posljemo ,Positive
264, slovenija zamuja z načrtom za jamstva za mlade bruselj ga pričakuje zelo kmalu,Negative
265, pospravljamo podstrešje leto bedakov in konjev  reportersi  via,Negative
266,grem stavit da ce bi blo tolk jamranja okol snega bi ze bil tko pa en gor uziva men pa tud pase ,Negative
267,druga kava danes tak dan je,Neutral
268,druga kava danes tak dan je,Neutral
270,saj ne rabim telefona ker se itak ne maram pogovarjat d,Neutral
271,po nastopu predobame je jasno naš rek tresla se je gora rodila se je miš izvrstno opisuje epilog afere  škovanje,Negative
272,po nastopu predobame je jasno naš rek tresla se je gora rodila se je miš izvrstno opisuje epilog afere  škovanje,Negative
273,od daleč novi golf od blizu kitajski qoros,Neutral
274,za lepši popoldan in lepši začetek vikenda preberite članek o sončnicah in kako le te vrnejo veselje do življenja,Negative
275,v napadu na restavracijo v dagestanu več mrtvih,Negative
276, fišer dokument ni pristen nato pa preiskava pri kalohu nepristen vendar vseeno tajen dokument  bu,Neutral
277,napis na polkilogramski posodici z arašidi izdelek lahko vsebuje sledi oreščkov,Positive
278, zunanje ministrstvo poklicalo mussomelija na zagovor  dnevnik,Negative
