text,sent
novinarji ob prvih projekcijah rezultatov volitev rezultati kažejo da je največ strank dobila veltronijeva demokratična stranka partito democratico vendar je koalicija pod vodstvom berlusconija zbrala več glasov pdl  lega nord  mpa,neutral
na 62 povojnih parlamentarnih volitvah v italiji ki so se zaključile danes ob 15 uri je največ 38 5 do 45 5 odstotkov glasov zbral silvio berlusconi poroča rai berlusconi je kandidat desnosredinske stranke ljudstvo svobode njegov najmočnejši protikandidat rimski župan walter veltroni je dobil od 37 do 34 odstotkov glasov,neutral
berlusconi obljublja zmanjšanje javne porabe,positive
silvio berlusconi 72letnik in tretji najbogatejši italijan rojakom obljublja zmanjšanje javne porabe z digitalizacijo javne uprave odpravo davka na premoženje dedovanje in darila in zmanjšanje javnega dolga z odprodajo državnega premoženja v vrednosti 700 milijard evrov,positive
volitve predčasne,neutral
spomnimo da je bil do zdaj premier romano prodi ki pa so mu parlamentarci konec januarja izglasovali nezaupnico zato je predsednik države giorgio napolitano razpisal predčasne volitve ki so trajale včeraj in danes oba glavna favorita sta volila že včeraj oglejte si fotogalerijo,neutral
nevladna organizacija amnesty international opozarja da hrvaška ne bi smela vstopiti v eu dokler ne bo zaključila sojenj za zločine storjene med vojno na hrvaškem,positive
dokler hrvaška ne bo zaključila sojenj za vojne zločine med vojno na hrvaškem 19921995 je evropska unija ne bi smela sprejeti v članstvo je danes v bruslju izjavila generalna sekretarka vodilne nevladne organizacije za človekove pravice amnesty international irene khan kot je poudarila so glede tega na hrvaškem še veliki problemi,neutral
na hrvaškem so še vedno veliki problemi še posebej glede preiskovanja in pregona zločinov na lokalni ravni ko so bile žrtve srbi je dejala khanova čeprav na hrvaških sodiščih potekajo številna sojenja za vojne zločine med vojno na hrvaškem pa so ta sojenja v glavnem povezana z žrtvami ki so bile med hrvati je še dejala,negative
eu ne bi smela zapreti poglavja o pravosodju,neutral
hrvaška je doslej odprla 16 od 35 pogajalskih poglavij v zagrebu pa načrtujejo da bodo do jeseni 2009 pogajanja v celoti zaključili toda khanova vztraja da eu ne bi smela zapreti poglavja o pravosodju dokler ne bodo rešena ključna vprašanja v hrvaškem pravosodju,neutral
v bruslju so sicer že opozorili zagreb da bodo morali izpolniti vse pogoje za zaprtje pogajalskih poglavij reformi pravosodja ter javne uprave sta ključni zahtevi za to in bruselj je hrvaško tudi opozoril da če se teh reform ne bodo lotili dovolj kmalu bi to lahko ogrozilo ambiciozne hrvaške načrte,negative
eu bi z ravnanjem do hrvaške postavila standarde za ostale države v regiji,neutral
kot je še opozorila khanova bo eu z ravnanjem do hrvaške postavila tudi standarde za ostale države v regiji zelo je pomembno da eu ne bo dopustila da se tako pomembno vprašanje kot so vojni zločini pometejo pod preprogo je še poudarila ,positive
za apple pa je sodelovanje z vodafonom del načrta za povečanje prodaje zunaj združenih držav,positive
kasneje letos nova verzija iphona,positive
do zdaj je apple iphone uradno prodajal le v zda veliki britaniji franciji nemčiji avstriji in na irskem kupiti pa ga je mogoče tudi v sloveniji pri tušmobilu ki pa nima pogodbe z applom,positive
v drugi polovici leta naj bi apple tudi začel prodajati novo verzijo iphone najprej seveda v zda preko svojega partnerja att  nov aparat bo 3g kar pomeni da bo povezljiv z umts in zato bolj zanimiv za evropski trg kjer je pri pametnih telefonih to že standard,positive
za sod zahodnoteksaške nafte je trenutno treba odšteti 121 63 dolarja kar je 21 centov manj kot včeraj nafta brent je cenejša za 15 centov za sod je treba odšteti 120 16 dolarja,neutral
cena ameriške nafte se danes giblje pod 122 dolarji za 159litrski sod za sod zahodnoteksaške lahke nafte z junijskim dobavnim rokom je bilo treba v današnjem elektronskem trgovanju odšteti 121 63 dolarja na newyorški borzi se je torkovo trgovanje potem ko je cena dosegla 122 73 dolarja sklenilo pri 121 84 dolarja za sod,neutral
severnomorska nafta brent z dobavo v juniju se je danes na borzi v londonu pocenila za 15 centov na 120 16 dolarja za sod,neutral
rekordno tudi opecova nafta,neutral
nafta organizacije držav izvoznic nafte opec  pa je v torek dosegla nov rekord kot je danes zapisano na spletnih straneh opeca se je cena za sod te nafte podražila za 3 15 dolarja na 114 75 dolarja dosedanji rekord dosežen 28 aprila je bil 111 66 dolarja za sod,negative
analitiki visoke cene pripisujejo političnim napetostim predvsem izpostavljajo spor zda z iranom glede njegovega atomskega programa poleg tega dražijo nafto tudi zadnji napadi na črpališča nafte v z nafto bogati nigeriji,negative
kitajskim alpinistom je olimpijsko baklo uspelo ponesti na 8848 visoki mount everest,positive
posebna olimpijska bakla ki so jo prireditelji olimpijskih iger v pekingu poslali na mount everest je prispela na streho sveta cering wangmo zadnji od petih nosilcev bakle je prispel na 8848 metrov visoko goro kjer je zapičil kitajsko olimpijsko in zastavo iger v pekingu zaključni vzpon iz tabora na 8300 metrov je trajal šest ur,positive
prihod na vrh prenašala tudi televizija,positive
vodil ga je nima ciren vodja alpinistične šole u lhasi prihod na vrh pa je prenašala tudi kitajska televizija osvojitev vrha je bila po načrtih najbolj spektakularna pot olimpijske bakle ki bo skupaj premerila 137 tisoč kilometrov,positive
neznani alpinisti skušali ovirati vzpon bakle,negative
vzpon pa ni minil brez težav nosilci plamenice so pred vrhom srečali nepoznane tuje alpiniste ki naj bi poskušali ovirati vzpon bakle naša ekipa je povsem nepričakovano zagledala svetlobo iz alpinističnih svetilk nismo pričakovali da bi lahko koga srečali je dejal eden od vodij vzpona li zhixin ki ni navedel kdaj in na kateri višini je prišlo do srečanja je pa potrdil da je nekaj ljudi poskušalo ovirati pot olimpijskega ognja,negative
natanko v času turistične sezone bodo tranzitni potniki neenakopravno obravnavani gre za dejansko diskriminacijo tujih državljanov eu v primerjavi s slovenci saj se bo cestnina za slovenske voznike pocenile tujci pa bodo morali seči mnogo globlje v žep je dejal leichtfried spotaknil se je namreč ob dejstvo da bo pol leta najkrajše obdobje za katerega bo mogoče kupiti vinjeto predvidena cena za to obdobje pa bo 35 evrov,neutral
v ljubljani še niso obveščeni,neutral
evropski komisar za promet jacques barrot je sicer načeloma soglašal z uvedbo vinjet kot začasnim ukrepom ni pa se izrecno opredelil ali je polletna uvedba vinjet diskriminatorna do tujcev kar je v nasprotju z evropskim pravnim redom,negative
za komentar zahteve evropskega poslanca smo prosili na slovenskem ministrstvu vendar ob tretji uri tam ni bilo več odgovornih kot je pojasnil tiskovni predstavnik damijan križnik z zadevo niti niso seznanjeni,negative
uporabniki se že lahko prijavijo na spletni strani borzne posredniške družbe brokerjet sparkasse ki bo od septembra dalje omogočala spletno borzno trgovanje,positive
avstrijska banka sparkasse je v sodelovanju z dunajsko družbo ecetra central european efinance ustanovila borzno posredniško družbo brokerjet sparkasse ki bo začela aktivno delovati predvidoma septembra in bo omogočala spletno trgovanje z vrednostnimi papirji,neutral
v poletnih mesecih bodo na spletni strani brokerjetsi nudili predvsem ogled in spremljanje finančnih podatkov ter dogajanje na svetovnih borzah omogoča pa že brezplačno registracijo ki bo uporabnikom od septembra dalje omogočala borzno trgovanje,positive
pri delovanju bph prek spleta gre predvsem za omogočanje hitrega poslovanja na eni strani in popolnoma zagotovljeno varnost sistema na drugi je povedal predsednik uprave družbe brokerjet sparkasse jure hartman,positive
danes in jutri bo sončno čez dan bo občasno nekaj več oblačnosti,neutral
danes in jutri bo sončno čez dan bo občasno nekaj več oblačnosti predvsem ponoči in zjutraj bo na primorskem pihala šibka do zmerna burja je zapisano na spletnih straneh agencije rs za okolje,neutral
najnižje jutranje temperature bodo od 5 do 10 na primorskem okoli 12 najvišje dnevne danes od 18 do 22 na primorskem do 24 celzija jutri kakšno stopinjo manj,neutral
napoved za sosednje pokrajine,neutral
prevladovalo bo sončno vreme nekaj več oblačnosti bo predvsem v hribovitem svetu v alpah lahko popoldne nastanejo posamezne plohe ali nevihte ob severnem jadranu bo zjutraj pihala šibka do zmerna burja,neutral
vremenska slika,neutral
nad jugozahodno evropo in zahodnim sredozemljem je ciklonsko območje nad preostalo evropo pa prevladuje območje visokega zračnega pritiska od vzhoda bo dotekal nad naše kraje razmeroma suh in topel zrak,positive
obeti,neutral
v ponedeljek in torek bo sončno z občasno povečano oblačnostjo na primorskem bo zjutraj še pihala šibka do zmerna burja,positive
napoved vpliva vremena na počutje,neutral
danes bo vremenski vpliv ugoden in v krajih s sončnim vremenom vzpodbuden,positive
povpraševanje ni upadlo cene zemljišč in gradbenih del ter materialov pa so vedno višje,neutral
kot pravijo akterji na celjskem trgu nepremičnin cene v mestu ob savinji in njegovi okolici zmerno rastejo doslej še ni prišlo do opaznega segmentiranja trga vendar bo razlika v ceni med novimi in starimi stanovanji v prihodnosti večja,negative
vsekakor pričakujem da se bo v prihodnosti razlika v ceni med novimi in starimi stanovanji povečala pravi radovan cink iz nepremičninske agencije atrij,neutral
po ugotovitvah nepremičninskega portala slonep so bile nastavljene cene v savinjski dolini po višini nekje v tretjem razredu skupaj z dolenjsko podravjem in še nekaterimi območji ob avtocestnem križu so pa stanovanja še vedno precej cenejša kot v ljubljani in bližnji okolici na obali in gorenjskem povprečne nastavljene cene za kvadratni meter stanovanja so bile marca naslednje garsonjere 1610 evrov lani 1 302 enosobna stanovanja 1599 evrov lani 1318 dvosobna 1387 evrov lani 1135 in trisobna 1261 evrov lani 1081,neutral
dražijo se tudi zemljišča,neutral
cene so višje zaradi gibanja ponudbe in povpraševanja vendar pa rastejo tudi zaradi rasti cen zemljišč prav tako so se podražili viri financiranja visoka konjunktura pa je povišala tudi cene gradbenih del in materialov prav težje financiranje pa se trenutno še ne kaže v manjšem povpraševanju mogoče se je malce podaljšal čas prodaje stanovanj vendar ta dejavnik nima pomembnega vpliva na trg in cene,neutral
proizvodna podjetja iščejo prostore v urejenih industrijskih conah ena iščejo cenejše lokacije druga želijo širiti dejavnost razlike so še vedno majhne,neutral
stara stanovanja še vedno relativno držijo ceno pravi radovan cink direktor nepremičninske družbe atrij  dodaja da je ponudba novih stanovanj dovolj velika zato bodo na dolgi rok stara težko obdržala tako ceno tako je ta trenutek v celju in njegovi okolici kar nekaj investicij v večstanovanjsko gradnjo ter naselij vrstnih in individualnih hiš,neutral
vedno več investitorjev,neutral
cink opaža tudi veliko zanimanje investitorjev za to območje v laškem je investicija zdravilišča laško pripeljala tudi investitorje ki gradijo apartmajske objekte česar prej nismo poznali drugi magnet za investitorje so lokalne oblasti sicer ne toliko v celju kot v drugih občinah,neutral
čeprav so tako investitorji kot nepremičninski posredniki po dokončanju avtocestne povezave z ljubljano pričakovali veliko povpraševanja z dražjih območij predvsem ljubljanske kotline množičnih selitev ni bilo kljub vsemu pa so območja blizu avtoceste dovolj privlačna da občine najprej spremenijo svoje zazidalne načrte,neutral
prvi mož skupine viator  vektor zdenko pavček je pred parlamentarno komisijo dejal da so pogovori o izdelovanju oklepnikov stekli že pod prejšnjo vlado a konkretnih zagotovil ni bilo,negative
predsednik uprave skupine viator  vektor zdenko pavček je na zaslišanju pred komisijo dz ki preučuje nakup oklepnikov 8x8 povedal da so pogovori o tem da bo sistemska tehnika izdelovala oklepnike 8x8 stekli že v času prejšnje vlade čvrstega dogovora ni bilo smo pa podpisali pismo o nameri da bomo to delali je dejal,neutral
včeraj je bil en evro vreden 1 5469 dolarja še poroča bloomberg,neutral
rast japonskega gospodarstva je v letošnjem prvem kvartalu na letni ravni znašala 3 3 odstotka kar je več od pričakovanj,positive
japonska gospodarska rast se je v letošnjem prvem četrtletju le nekoliko upočasnila kot je danes v tokiu sporočila vlada se je obseg bruto domačega proizvoda med januarjem in marcem po prvih izračunih na letni ravni realno povečal za 3 3 odstotka to je več od pričakovanj analitikov v bloombergovi anketi ki so napovedovali 2 5odstotno rast v zadnjem lanskem četrtletju je japonska zabeležila 3 5odstotno letno stopnjo gospodarske rasti,positive
0 8odstotna četrtletna rast,positive
zaradi upočasnitve globalne gospodarske rasti nemirov na svetovnih finančnih trgih ter rasti cen surovin so analitiki pričakovali precej manjšo rast japonskega gospodarstva v primerjavi s četrtletjem prej je gospodarska rast v letošnjem prvem četrtletju znašala 0 8 odstotka,positive
izvoz se je povečal za 4 5 odstotka,positive
drugo največje gospodarstvo na svetu je še naprej močno odvisno od izvoza ta se je v letošnjem prvem četrtletju v primerjavi s prejšnjim četrtletjem povečal za 4 5 odstotka medtem ko se je obseg uvoza povečal za dva odstotka,positive
japonska centralna banka po mnenju analitikov v naslednjih tednih ne bo spreminjala obrestnih mer,neutral
holding pmp merkur zlata moneta 2 perutninarska zadruga ptuj probanka in comet so po prevzemni ponudbi povečali svoje lastništvo na 65 odstotkov,neutral
prevzemniki perutnine ptuj holding pmp merkur zlata moneta 2 perutninarska zadruga ptuj probanka in comet so povečali svoje lastništvo z 42 na dobrih 65 odstotkov so sporočili iz perutnine ptuj v prevzemni ponudbi so ponujali 18 evrov za delnico družbe,positive
konzorcij za strateške odločitve ne potrebuje kada,neutral
kot smo že poročali kapitalska družba se ni odločila za prodajo perutnininih delnic kar pa po mnenju uprave družbe ni bistveno vplivalo na uspešnost ponudbe konzorcij naj bi namreč s svojim izrazitim večinskim lastništvom lahko potrjeval vse najpomembnejše strateške odločitve kar naj bi bilo za nadaljnji razvoj perutnine ptuj odločilnega pomena,positive
predsednik uprave perutnine ptuj roman glaser je ob izteku prevzemne ponudbe konsolidacija lastniške strukture nam zagotavlja nadaljnjo stabilnost poslovanja perutnine ptuj predvsem pa poenotenje podpore vizije razvoja ki smo jo vzpostavili v zadnjih letih perutnina ptuj je namreč postala osrednje mesnopredelovalno podjetje v tej branži na območju jv evrope in je sedaj v fazi ko se bo z nadaljnjimi vlaganji lahko še bolj utrdila v širši regiji to pomeni da so se vsi prevzemniki vključno s širšim managementom perutnine ptuj ki je združen v pmp holdingu zavestno odločili za nadaljnji razvoj družbe in ne za aktivno dividendno politiko prav dolgoročno stabilno poslovanje je bilo osnovno vodilo lastniške konsolidacije,positive
v odgovorih na poslanska vprašanja je premier janez janša zatrdil da so razlog za nadpovprečno visoko inflacijo delni monopoli in do nedavnega slabo delo urada za varstvo konkurenčnosti in atvp,negative
foto irena herak,neutral
vlada nima v rokah vseh inštrumentov da vpliva na rast inflaciji ima le nekatere je poudaril predsednik vlade janez janša in priznal da ima slovenija najvišjo inflacijo v evroobmočju vendar jo je imela tudi ob prevzemu evra je dodal,negative
sicer pa za janšo ni nič novega niti da ljudje v javnomnenjskih raziskavah odgovarjajo da živijo slabše kot so to ni nič novega je še pridal,negative
bonitetna hiša moodys je po poročanju ft že v začetku leta 2007 vedela da imajo v računalniškem programu napako zaradi katere so bili nekateri vrednostni papirji ovrednoteni z najvišjo oceno aaa realno bi jim sicer pripadala štiri stopnje nižja ocena gre za ti izvedene instrumente na dolžniške vrednostne papirje cpdo vlagatelji ki so ocenam nasedli beležijo do 60odstotno izgubo,negative
novica prihaja v času ko so bonitetne hiše pod hudim pritiskom vlagateljev in regulatorjev trga ki za finančno krizo krivijo tudi velikodušno podeljevanje ocen vrednostnim papirjem s strani bonitetnih hiš v moodysu so sicer že napovedali notranjo preiskavo o zadevi,neutral
cpdojem je sicer najvišjo oceno prva podelila bonitetna hiša sp za vlagatelje ki so zahtevali oceni dveh različnih bonitetnih hiš je bila tako ključna ocena moodysa v sp sicer vztrajajo pri svojih ocenah,neutral
prilagajanje željam in zahtevam porabnika je riku prineslo gradnjo prestižnega naselja,positive
prepričani smo da se nam je s tem projektom odprl nov segment prestižne gradnje dobro sodelovanje s priznanimi oblikovalci phililipe starck jade jagger in yoo studio pa odpira tudi nove priložnosti podoben projekt že pripravljamo tudi v moskvi pravi matevž marc iz rika,positive
s projektom lakes by yoo je riko dobil vstopnico za vstop v segment gradnje prestižnih lesenih hiš pri tem jim je veliko pomagal k strankam naravnan trženjski prijem za posel se je potegovala tako lokalna kot tudi mednarodna konkurenca,positive
kako je celovita trženjska obravnava pomagala riku da je vstopil v prestižni segment gradnje hiš je pojasnil matevž marc ki v londonskem predstavništvu rika vodi projekt prisluhnemo svojemu naročniku stranki kupcu ter definiramo izdelek glede na njegove želje in pričakovanja naš trženjski prijem je stranki vedno povsem naravnan in je definiran kot partnerstvo v uresničevanju zamisli tudi v prihodnje bodo zato po marčevih besedah nadaljevali začeto trženjsko strategijo saj sistem lesne nizkoenergijske in ekološke gradnje omogoča prilagajanje pričakovanjem in zahtevam naročnikov tako sodelovanje pa je po izkušnjah marca vedno bolj iskano pri ekskluzivnih projektih,positive
vstopnica za gradnjo prestižnih objektov,neutral
lesna ekogradnja se sicer že tako uvršča med drage gradnje projekt the lakes pa nam je odprl tudi možnost sodelovanja z vrhunskimi svetovnimi nepremičninskimi svetovalci in oblikovalci s tem smo dobili nekakšno vstopnico v gradnjo prestižnih objektov je pojasnil marc v riku sicer zagotavljajo da se ne bodo povsem preusmerili v gradnjo prestižnih objektov ampak bodo po evropskih trgih še gradili tudi posamezne individualne in večstanovanjske hiše ter javne objekte kot so vrtci šole centri dobrega počutja restavracije,positive
vzorčne hiše ki si jih morebitni kupci lahko ogledajo pred nakupom je riko postavil že leta 2006,neutral
podoben projekt se obeta tudi v moskvi,neutral
vzorčne hiše ki si jih morebitni kupci lahko ogledajo pred nakupom je riko postavil že leta 2006 zdaj so že zgradili deset hiš še 20 naj bi jih do konca leta projekt gradnje vseh 160 hiš naj bi končali leta 2011 marc pa dodaja da imajo možnost pridobiti tudi naročilo za gradnjo klubske hiše s centrom za fitnes prepričani smo da se nam je s tem projektom odprl nov segment dobro sodelovanje s priznanimi oblikovalci phililipe starck jade jagger in yoo studio pa odpira tudi nove priložnosti prav z njimi vzpostavljamo strateško zavezništvo saj si želio ta knowhow oziroma sodelovanje uresničiti tudi drugod podoben projekt tako že pripravljamo v moskvi je razkril marc,positive
odbor dz za gospodarstvo bo kot matično delovno telo to točko obravnaval v soboto šrot se sicer seje odbora ne namerava udeležiti,neutral
predlog za sklic izredne seje o tej tematiki so vložili poslanci sds  razlog je v predlogu sklepov ki bi vladi naložili naj pripravi celovito poročilo o stanju in dz predlaga sprejem zakonodaje ki bi takšna koruptivna dejanja v bodoče preprečila je včeraj pojasnil poslanec sds branko grims,neutral
v zaresu so tako predlagali da se na sejo povabi nekdanjo državno sekretarko na ministrstvu za gospodarstvo in predsednico nadzornega sveta dela andrijano starina kosem in predsednika uprave pivovarne laško boška šrota da natančneje pojasnita ozadje in cilje prodaje državnih deležev v mercatorju in načine političnega prevzemanja nekaterih medijev v državi,neutral
pomembno vlogo v tej zgodbi ima tudi istrabenz zato bi po njihovem mnenju morali povabiti tudi generalnega sekretarja vlade boža predaliča ki je bil do nedavnega član nadzornega sveta te družbe,neutral
podjetja zaradi težav pri sklepanju pogodb o zaposlitvi ker ni kandidatov za zaposlitev za krajši čas ali nimajo potrebnih izkušenj oziroma če gre za delo s prekinitvami pogosto sklepajo napačne pogodbe za kršitve veljajo visoke globe,neutral
foto urban štebljajnekoč sem v roke dobil avtorsko pogodbo za čiščenje prostorov je primer napačne rabe avtorske pogodbe pojasnil borut brezovar glavni inšpektor inšpektorata za delo,neutral
upor proti boljševizmu,neutral
urednik zaveze je prepričan da so se slovenci ki so bili pomorjeni v kočevskem rogu med drugo svetovno vojno 19411945 uprli boljševizmu slovenski boljševiki in njihovi zavezniki so pod jurisdikcijo treh osnovnih zločinov ki jih je postavilo mednarodno sodstvo to so zločini zoper mir vojni zločini in zločini zoper človečnost je zatrdil justin stanovnik,negative
prepričan je da kot predsednik zveze borcev nima s kočevskim rogom nič saj to niso napravili partizani ampak je bilo vse to narejeno v okviru takrat mednarodno priznane jugoslovanske vojske dodal je še da je bilo to dejanje državnega terorizma,negative
med sklepnimi boji ob koncu druge svetovne vojne leta 1945 so se pred partizani iz slovenije na avstrijsko koroško umaknile tudi enote slovenskih domobrancev in civilisti te so britanske zasedbene sile vrnile komunističnim oblastem v slovenijo velika večina vrnjenih je bila pozneje pomorjenih mnogi med njimi na območju kočevskega roga,negative
ferenc ne smemo si zatiskati oči,negative
kot je lansko poletje za mariborski časnik večer dejal zgodovinar in vodja evidentiranja prikritih grobišč mitja ferenc je med drugo svetovno vojno in zaradi nje do konca leta 1945 umrlo okrog 80 tisoč slovencev po končani vojni pa kar 14 tisoč,negative
ferenc je dodal da se to ni moglo zgoditi brez vednosti takratnih najvišjih jugoslovanski političnih in vojaških voditeljev ne smemo si zatiskati oči bilo je sistematično odstranjevanje nasprotnikov je opozoril,negative
ker je jelinčič zapustil sejo in je bila komisija zato nesklepčna je njen predsednik zasedanje prekinil nadaljevalo se bo predvidoma ob 10 uri,neutral
pred komisijo čakata krkovič in lovšin,neutral
komisija naj bi danes predvidoma zaslišala nekdanjega direktorja obveščevalnovarnostne službe andreja lovšina nekdanjega poveljnika specialne brigade moris antona krkoviča nekdanjega referenta obveščevalnovarnostne službe obrambnega ministrstva francija cimermana in polkovnika milka petka iz generalštaba slovenske vojske cimerman se je predsedniku komisije v današnjih jutranjih urah že opravičil za odsotnost kot je znano pa so cvikl prizadeva pred komisijo povabiti tudi predsednika vlade janeza janšo,neutral
tri četrtine igralcev nagradne igre finance  nogomet ki so doslej oddali napovedi menijo da bodo nemci nocoj na evropskem nogometnem prvenstvu premagali hrvate,neutral
pridružite se tudi vi prek 1 300 igralcem v boju za pravilno napovedovanje zmagovalca tekem s čemer si lahko priigrate 300 evrov nagrade  wwwfinancesinogoigra,positive
v današnjem derbiju med hrvaško in nemčijo na evropskem nogometnem prvenstvu bodo zmagali slednji meni 77 odstotkov igralcev nagradne igre finance  nogomet ki so doslej oddali napoved slaba desetina jih meni da bodo naši južni sosedje premagali nemce medtem ko jih nekoliko več 14 odstotkov meni da se bo tekma zaključila brez zmagovalca,neutral
ste že oddali svojo napoved,neutral
če še niste oddali napovedi izidov današnjih tekem kdo bo zmagovalec oziroma ali se bo tekma končala neodločeno lahko to storite do 17 30 dodajmo da enak delež igralcev kot v zmago nemcev verjame tudi v zmago poljakov nad gostitelji avstrijci če se še niste pridružili nagradni igri finance  nogomet v kateri je prijavljenih prek 1 300 igralcev lahko to še vedno storite ne pozabite zmagovalec bo prejel 300 evrov razdelili bomo pa tudi več praktičnih nagrad,neutral
nihče ni osvojil desetke,neutral
pravilen izid vseh doslej odigranih desetih tekem ni uspelo nikomur napovedati najbolj se je temu približala osmerica igralcev ki so osvojili devet točk v času predtekmovanja je namreč vsak pravilno napovedan izid tekme točkovan z eno točko v tekmah na izpadanje pa bo vsaka napoved trikrat bolj vredna,positive
vrednosti delnic na evropskih borzah so danes malenkost poskočile po objavi novice da naj bi britanska banka barclays z investitorji povečala kapital za več kot 5 milijard evrov,positive
večina evropskih borznih indeksov je danes porasla po objavi novice da bo banka barclays izvedla dokapitalizacijo s pomočjo velikih institucionalnih investitorjev nemški indeks dax in britanski ftse sta porasla za petino odstotka medtem ko je francoski cac izgubil 0 01 odstotek,positive
dokapitalizacija banke barclays,neutral
zadnje čase je veliko govora o dokapitalizaciji velikih bank ki se jim je z odpisi in izgubami zmanjšal kapital dokapitalizacijo pa sedaj ogroža padanje vrednosti delnic vendar kot kaže bo to uspelo britanski banki barclays ki naj bi po neuradnih informacijah nabrala dodatnih 5 milijard evrov za kar kažejo interes tudi na kitajskem in v singapurju po objavi novice je danes delnica na borzi poskočila za 5 5 odstotka,positive
v današnji izjavi je banka jp morgan dejala da je za evropske banke najhujše obdobje krize že mimo vendar se kljub temu pričakujejo odpis nadaljnjih 10 milijard evrov do konca leta 2008,neutral
izraz podpore britanskim nepremičninam,positive
skupina največjih britanskih institucionalnih investitorjev načrtuje povečati sredstva namenjena za nepremičninsko industrijo največ sta danes od tega potegnili družbi barratt in taylor wimpey ki sta se na borzi podražili za 11 5 in 8 5 odstotka,positive
janša osebno je naklonjen uvedbi finančne policije a se v isti sapi sprašuje zakaj je do pobud za reorganizacijo ustanov ki preganjajo gospodarski kriminal prihaja ravno v času ko so obstoječi organi začeli prinašati sadove,neutral
vodja poslancev zares matej lahovnik se je dotaknil sklepov nedavne seje parlamenta o problematiki koncentracije kapitala na podjetjih  poštnih nabiralnikih ali se boste osebno zavzeli za uvedbo finančne policije s katero bi se lahko bolj učinkovito preganjalo gospodarski kriminal ,neutral
